"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1M009008","48295","OCEAN GALLERY VILLAGE DEL LAGO, UNIT 2 (THE)","St. Johns","RR 05, SAINT AUGUSTINE BCH, FL 32084-9805","49","03/07/1984","Approved","Recorded","MA00010155","OCEAN GALLERY VILLAGE DEL LAGO CONDO ASSOC INC, THE","","4600 AIA S","ST AUGUSTINE BEACH","FL","32084-9478"
"PR1M008224","48187","SHANGRI-LA AT PALM COAST","Flagler","4 CASPER CT, PALM COAST, FL 32037-8146","32","01/01/1975","Approved","Recorded","MA00002531","SHANGRI-LA HOME OWNERS ASSOCIATION AT PALM COAST INC","C/O SOUTHERN STATES MGMT GROUP INC","785 W GRANADA BLVD, STE 5","ORMOND BEACH","FL","32174"
"PR1P000553","51001","WATERSIDE, A CONDO, THE","Duval","1905 UNIVERSITY BOULEVARD S., JACKSONVILLE, FL 32216-8932","43","05/17/1985","Approved","Recorded","MA00011853","WATERSIDE OWNERS' ASSN, INC","C/O BANNING MANAGEMENT INC","6028 CHESTER AVE","JACKSONVILLE","FL","32217"
"PR1P000554","51002","SEA HAWK AT PONTE VEDRA LAKES II","St. Johns","HIGHWAY A1A, PONTE VEDRA, FL 32084","42","12/12/1984","Approved","Recorded","MA00012323","SEAHAWK AT PONTE VEDRA LAKES II CONDO","C/O FIRST COAST ASSOCIATION MGMT, LLC","7785 BAYMEADOWS WAY, STE 210","JACKSONVILLE","FL","32256"
"PR1P000555","51003","WOOD RIDGE THREE, A CONDO","Leon","1571 STONE ROAD, TALLAHASSEE, FL 32303","32","01/29/1984","Approved","Recorded","MA00002520","WOOD RIDGE THREE CONDO ASSN INC","C/O DANNY HAYES, REGISTERED AGENT","3968 N MONROE ST","TALLAHASSEE","FL","32303"
"PR1P000556","51004","SEA HAWK AT PONTE VEDRA LAKES I, A CONDO","St. Johns","HWY A1A, PONTE VEDRA BCH, FL 32083","80","04/18/1984","Approved","Recorded","MA00002981","SEAHAWK AT PONTE VEDRA LAKES ONE CONDO ASSN INC","C/O FIRST COAST ASSOCIATION MGMT, LLC","7785 BAYMEADOWS WAY","JACKSONVILLE","FL","32256"
"PR1P000557","51005","RESIDENCE (THE) A CONDO","Nassau","8300 FLORIDA HIGHWAY A1A, FERNANDINA BEACH, FL 32034","14","01/15/1987","Approved","Recorded","MA00015643","RESIDENCE CONDO ASSN INC","C/O AMELIA ISLAND MANAGEMENT","5440 FIRST COAST HWY","AMELIA ISLAND","FL","32034"
"PR1P000736","51025","VILLAGE GREEN AT BAYMEADOWS 1, A CONDO","Duval","8118 BAYMEADOWS CIRCLE EAST, JACKSONVILLE, FL 32256-1843","109","08/11/1983","Approved","Recorded","MA00012476","VILLAGE GREEN AT BAYMEADOWS 1 CONDO ASSN, INC","","5166 COUNTY LINE ROAD PMB 204","LAKELAND","FL","33811"
"PR1P000738","51027","VILLAGE GREEN AT BAYMEADOWS 2, A CONDO","Duval","7623 BAYMEADOWS CIRCLE WEST, JACKSONVILLE, FL 32216","53","12/23/1985","Approved","Recorded","MA00009585","VILLAGE GREEN AT BAYMEADOWS 2 CONDO ASSN, INC","","5166 COUNTY LINE ROAD PMB 204","LAKELAND","FL","33811"
"PR1P008047","51916","MAINSAIL A CONDO","Walton","HIGHWAY 98, EAST, DESTIN, FL 32541","199","03/29/1983","Approved","Recorded","MA00003482","MAINSAIL OWNERS ASSN INC","C/O MICAH PRIEST","114 MAINSAIL DRIVE","MIRAMAR BEACH","FL","32550"
"PR1M019995","50117","EDGEWATER GOLF VILLAS V-B, A CONDO","Bay","520 BECKRICH RD, PANAMA CITY BEACH, FL 32407-3629","32","03/10/1988","Approved","Recorded","MA00003711","EDGEWATER BEACH RESORT COMMUNITY ASN INC","C/O MAXET MANAGEMENT GROUP","415 RICHARD JACKSON BLVD","PANAMA CITY BEACH","FL","32407"
"PR1M012767","49175","SOUTHWIND (I), A CONDO","Bay","17670 W ALT HIGHWAY 98, PANAMA CITY BEACH, FL 32407","32","08/24/1984","Approved","Recorded","MA00013073","SOUTHWIND OWNERS ASSN., INC.","","2827 JOAN AVENUE, SUITE B","PANAMA CITY BEACH","FL","32408"
"PR1M008375","48214","SUNSWEPT (I), A CONDO","Bay","6829 THOMAS DR, PANAMA CITY BEACH, FL 32407-6159","15","12/27/1982","Approved","Recorded","MA00013731","SUNSWEPT COMMUNITY ASSN INC","","PO BOX: 9297","PANAMA CITY BEACH","FL","32417"
"PR1M008376","48215","SUNSWEPT (II), A CONDO","Bay","6829 THOMAS DR, PANAMA CITY BEACH, FL 32407-6159","12","05/20/1983","Approved","Recorded","MA00013731","SUNSWEPT COMMUNITY ASSN INC","","PO BOX: 9297","PANAMA CITY BEACH","FL","32417"
"PR1M008377","48216","SUNSWEPT (III), A CONDO","Bay","6829 THOMAS DR, PANAMA CITY, FL 32407-6159","14","06/10/1983","Approved","Recorded","MA00013731","SUNSWEPT COMMUNITY ASSN INC","","PO BOX: 9297","PANAMA CITY BEACH","FL","32417"
"PR1M008378","48217","SUNSWEPT (IV), A CONDO","Bay","6829 THOMAS DR, PANAMA CITY BEACH, FL 32407-6159","24","08/23/1983","Approved","Recorded","MA00013731","SUNSWEPT COMMUNITY ASSN INC","","PO BOX: 9297","PANAMA CITY BEACH","FL","32417"
"PR1M008379","48218","ENDLESS SUMMER (I)","Bay","17614 W ALTERNATE HIGHWAY 98, PANAMA CITY BEACH, FL 32407-1943","44","03/27/1986","Approved","Recorded","MA00005201","ENDLESS SUMMER OWNERS ASSN INC","C/O DAVID F CROCKER","9108 FRONT BEACH ROAD","PANAMA CITY BEACH","FL","32408"
"PR1M008380","48219","ENDLESS SUMMER (II)","Bay","17614 FRONT BEACH ROAD, PC BEACH, FL 32413","78","08/15/1986","Approved","Recorded","MA00005201","ENDLESS SUMMER OWNERS ASSN INC","C/O DAVID F CROCKER","9108 FRONT BEACH ROAD","PANAMA CITY BEACH","FL","32408"
"PR1M008488","48228","BELLE OAKS TOWNHOUSES I, A CONDO","Duval","10754 SCOTT MILL RD, JACKSONVILLE, FL 32223-6518","5","12/03/1984","Approved","Recorded","MA00001158","BELLE OAKS TOWNHOUSES ASSN INC","C/O COMMUNITY MANAGEMENT CONCEPTS","7400 BAYMEADOWS WAY, SUITE 317","JACKSONVILLE","FL","32256"
"PR1M008489","48229","BELLE OAKS TOWNHOUSES II, A CONDO","Duval","10754 SCOTT MILL RD, JACKSONVILLE, FL 32223-6518","12","02/14/1985","Approved","Recorded","MA00001158","BELLE OAKS TOWNHOUSES ASSN INC","C/O COMMUNITY MANAGEMENT CONCEPTS","7400 BAYMEADOWS WAY, SUITE 317","JACKSONVILLE","FL","32256"
"PR1G023076","46468","COLONY AT PONTE VEDRA II, A CONDO","St. Johns","20 PONTE VEDRA COLONY CIRCLE, PONTE VEDRA BEACH, FL 32082","8","08/12/1994","Approved","Recorded","MA00021410","COLONY AT PONTE VEDRA II CONDO ASSN INC #150","C/O CRESCENT MANAGEMENT SERVICES","PO BOX 1073","PONTE VEDRA BEACH","FL","32004"
"PR1G023128","46471","COLONY AT PONTE VEDRA III, A CONDO","St. Johns","30 PONTE VEDRA COLONY CIRCLE, PONTE VEDRA BEACH, FL 32082","8","11/15/1994","Approved","Recorded","MA00021464","COLONY AT PONTE VEDRA III CONDO ASSN INC#150","C/O TRACY SYNAN, PRESIDENT","2055 BEACH AVE","ATLANTIC BEACH","FL","32233"
"PR1G023230","46476","COLONY AT PONTE VEDRA V, A CONDO","St. Johns","50 PONTE VEDRA COLONY CIRCLE, PONTE VEDRA BEACH, FL 32082","8","02/21/1995","Approved","Recorded","MA00021569","COLONY AT PONTE VEDRA V CONDO ASSN., INC./#150","C/O AUSTIN LOCKERMAN","2653 LATRIUM CIRCLE SOUTH","PONTE VEDRA BEACH","FL","32082"
"PR1P008070","51923","GRAND MARINER A CONDO","Okaloosa","1100 HIGHWAY 98 E, DESTIN, FL 32541-3306","84","08/31/1981","Approved","Recorded","MA00001892","GRAND MARINER OWNERS ASSN INC","","1100 HWY 98 E","DESTIN","FL","32541"
"PR1P008387","51957","PALMS NORTH, A CONDO","Walton","HIGHWAY 30-A (DUNE ALLEN), SANTA ROSA BEACH, FL 32459","16","09/17/1985","Approved","Recorded","MA00010619","PALMS NORTH OWNERS ASSOCIATION, INC","C/O BETH GODWIN","5200 W COUNTY HWY 30A","SANTA ROSA BEACH","FL","32459"
"PR1P008486","51962","PIER POINT SOUTH, A CONDO","St. Johns","390  A1A BEACH BLVD, ST AUGUSTINE BEACH, FL 32080","64","03/26/1982","Approved","Recorded","MA00007029","PIER POINT SOUTH CONDO ASSN","","390 A1A BEACH BLVD S","SAINT AUGUSTINE","FL","32084-5991"
"PR1P008515","51963","PICKWICK PARK CONDO","Alachua","4411 SW 34TH ST, GAINESVILLE, FL 32608-2565","64","08/22/1984","Approved","Recorded","MA00001805","PICKWICK PARK CONDOMINIUM ASSOCIATION INC.","C/O BOSSHARDT PROPERTY MANAGEMENT","5522 NW 43TH STREET","GAINESVILLE","FL","32653"
"PR1P008593","51975","SEA WINDS CONDO","St. Johns","1600 ST. RD A1A SOUTH, ST. AUGUSTINE, FL 32804","80","07/21/1983","Approved","Recorded","MA00003465","SEA WINDS CONDOMINIUM ASSOCIATION OF ST. AUGUSTINE BEACH, INC.","C/O SOVEREIGN & JACOBS PROPERTY MGMT","120 SEA GROVE MAIN ST","SAINT AUGUSTINE","FL","32080"
"PR1P008613","51977","TREEHOUSE VILLAGE, A CONDO","Alachua","87 SE 16TH AVE, GAINESVILLE, FL 32601-8675","234","10/17/1985","Approved","Recorded","MA00002693","TREEHOUSE VILLAGE CONDO ASSN, INC.","","117 S.E. 16TH AVE.","GAINESVILLE","FL","32601"
"PR1P008632","51981","COUNTRY CLUB VILLAS, A CONDO","Santa Rosa","REDWOOD LANE, GULF BREEZE, FL 32571","56","11/17/1982","Approved","Recorded","MA00005875","COUNTRY CLUB VILLAS CONDOMINIUM ASSOCIATION OF GULF BREEZE INC","C/O MY HOME SPOT / GLENN DORSEY","225 N PACE BLVD","PENSACOLA","FL","32505"
"PR1M020384","50178","EDGEWATER GOLF VILLAS II-B, A CONDO","Bay","520 BECKRICH RD, PANAMA CITY BEACH, FL 32407","36","09/13/1988","Approved","Recorded","MA00003711","EDGEWATER BEACH RESORT COMMUNITY ASN INC","C/O MAXET MANAGEMENT GROUP","415 RICHARD JACKSON BLVD","PANAMA CITY BEACH","FL","32407"
"PR1M020570","50204","EDGEWATER GOLF VILLAS V-C, A CONDO","Bay","520 BECKRICH RD, PANAMA CITY BEACH, FL 32407","22","11/15/1988","Approved","Recorded","MA00003711","EDGEWATER BEACH RESORT COMMUNITY ASN INC","C/O MAXET MANAGEMENT GROUP","415 RICHARD JACKSON BLVD","PANAMA CITY BEACH","FL","32407"
"PR1M009259","48414","GENEVA SPRINGS I, A CONDO","Bradford","STATE ROAD 21, MELROSE, FL 32666","4","01/01/1980","Approved","Recorded","MA00021258","GENEVA SPRINGS CONDO HOMEOWNERS ASSN, INC","","3075 SE STATE ROAD 21 #4","MELROSE","FL","32666"
"PR1M009260","48415","GENEVA SPRINGS II, A CONDO","Bradford","STATE ROAD 21, MELROSE, FL 32666","4","10/14/1980","Approved","Recorded","MA00021258","GENEVA SPRINGS CONDO HOMEOWNERS ASSN, INC","","3075 SE STATE ROAD 21 #4","MELROSE","FL","32666"
"PR1M009261","48416","GENEVA SPRINGS III, A CONDO","Bradford","STATE ROAD 21, MELROSE, FL 32666","4","04/06/1981","Approved","Recorded","MA00021258","GENEVA SPRINGS CONDO HOMEOWNERS ASSN, INC","","3075 SE STATE ROAD 21 #4","MELROSE","FL","32666"
"PR1G023353","46485","COLONY AT PONTE VEDRA VII, A CONDO","St. Johns","70 PONTE VEDRA COLONY CIRCLE, PONTE VEDRA BEACH, FL 32082","8","07/20/1995","Approved","Recorded","MA00021693","COLONY AT PONTE VEDRA VII CONDO ASSOC INC","","PO BOX 144","PONTE VEDRA BEACH","FL","32004"
"PR1G023642","46503","COLONY AT PONTE VEDRA VI, A CONDO","St. Johns","60 PONTE VEDRA COLONY CIRCLE, PONTE VEDRA BEACH, FL 32082","8","12/04/1995","Approved","Recorded","MA00021939","COLONY AT PONTE VEDRA VI CONDO ASSN., INC.","","PO BOX 2904","PONTE VEDRA BEACH","FL","32004"
"PR1G023713","46509","COLONY AT PONTE VEDRA VIII, A CONDO","St. Johns","80 PONTE VEDRA COLONY CIRCLE, PONTE VEDRA BEACH, FL 32082","8","03/22/1996","Approved","Recorded","MA00022011","COLONY AT PONTE VEDRA VIII CONDO ASSOC., INC","C/O CRESCENT MANAGEMENT SERVICES","PO BOX 2442","PONTE VEDRA BEACH","FL","32004"
"PR1G023714","46510","COLONY AT PONTE VEDRA IX, A CONDO","St. Johns","90 PONTE VEDRA COLONY CIRCLE, PONTE VEDRA BEACH, FL 32082","8","08/13/1996","Approved","Recorded","MA00022012","COLONY AT PONTE VEDRA IX CONDO ASSN INC","","PO BOX 125","PONTE VEDRA BEACH","FL","32004"
"PR1G023750","46513","BEACH COLONY WEST, A CONDO","Escambia","13601 PERDIDO KEY DRIVE, PENSACOLA, FL 32507","71","03/03/1998","Approved","Recorded","MA00022048","BEACH COLONY WEST CONDO ASSN INC","","13599 PERDIDO KEY DR","PENSACOLA","FL","32507"
"PR1P008724","51995","FAIRWAYS CONDO AT PALM COAST","Flagler","PALM COAST PKWY., PALM COAST, FL 32037","200","01/01/1980","Approved","Recorded","MA00002670","FAIRWAYS CONDO AT PALM COAST INC THE","","1631  E.VINE STREET","KISSIMMEE","FL","34744"
"PR1P008726","51997","PINE LAKES VILLAS CONDO AT PALM COAST","Flagler","VILLAGE CIRCLE, PALM COAST, FL 32051","36","05/14/1982","Approved","Recorded","MA00011078","PINE LAKES VILLAS CONDO AT PALM COAST INC","C/O SOUTHERN STATES MANAGEMENT GROUP INC","785 W GRANADA BLVD, SUITE 5","ORMOND BEACH","FL","32174"
"PR1P008727","51998","HORIZON SOUTH II, A CONDO","Bay","17462 W HIGHWAY 98 A, PANAMA CITY BEACH, FL 32407-2016","24","01/03/1983","Approved","Recorded","MA00007875","HORIZON SOUTH II CONDO ASSN INC","","17462 FRONT BEACH RD","PANAMA CITY BEACH","FL","32413"
"PR1P008815","52008","GULFVIEW CONDO","Okaloosa","OLD U.S. HIGHWAY 98, DESTIN, FL 32541","18","08/19/1988","Approved","Recorded","MA00000185","GULFVIEW COMMUNITY ASSN INC","","10221 EMERALD COAST PKWY W","MIRAMAR BEACH","FL","32550"
"PR1P008857","52018","BREEZY POINT, A CONDO","Santa Rosa","3250 FERNWOOD ST, GULF BREEZE, FL 32561-3214","12","01/11/1985","Approved","Recorded","MA00002478","BREEZY POINT OWNERS ASSN INC","","1285 COLLEGE PARKWAY, UNIT E","GULF BREEZE","FL","32563"
"PR1P008881","52020","SUGAR MILL FIVE, A CONDO","Duval","3801 CROWN POINT RD, JACKSONVILLE, FL 32217-6061","58","09/17/1984","Approved","Recorded","MA00008834","SUGAR MILL FIVE CONDO ASSN INC","C/O BANNING MANAGEMENT INC.","6028 CHESTER AVE.","JACKSONVILLE","FL","32217"
"PR1P008882","52021","SUGAR MILL THREE, A CONDO","Duval","3801 CROWN POINT ROAD, JACKSONVILLE, FL 32257","46","08/12/1983","Approved","Recorded","MA00005427","SUGAR MILL THREE CONDO ASSOC","C/O BANNING MANAGEMENT INC.","6028 CHESTER AVE.","JACKSONVILLE","FL","32217"
"PR1P008883","52022","SUGAR MILL FOUR, A CONDO","Duval","CROWN PNT RD&ST AUGUSTINE, JACKSONVILLE, FL 32217","50","03/27/1984","Approved","Recorded","MA00012313","SUGAR MILL FOUR CONDO ASSN","C/O BANNING MANAGEMENT","6028 CHESTER AVE","JACKSONVILLE","FL","32217"
"PR1P001705","51128","SUNSET HARBOR CONDO","Santa Rosa","7453 SUNSET HARBOR DRIVE, NAVARRE , FL 32566","72","03/06/1985","Approved","Recorded","MA00010464","SUNSET HARBOR CONDO OWNERS ASSN INC","","4000 HIGHWAY 90 STE C","PACE","FL","32571"
"PR1P001752","51137","RAMSGATE HARBOUR","Bay","23011 W HIGHWAY 98 A, PANAMA CITY BEACH, FL 32407-1139","66","07/19/1985","Approved","Recorded","MA00012879","RAMSGATE HARBOUR OWNERS ASSN, INC.","","495 RICHARD JACKSON BLVD","PANAMA CITY BEACH","FL","32407"
"PR1P001929","51161","BAYSIDE CONDO","Walton","SANDESTIN BLVD HWY 98 E, DESTIN, FL 32541","175","07/05/1984","Approved","Recorded","MA00008541","BAYSIDE AT SANDESTIN CONDO ASSN INC","","200 SANDESTIN BLVD N","MIRAMAR","FL","32550"
"PR1G024328","46549","OCEAN GATE PHASE I, A CONDO","St. Johns","4730-A HWY A1A S, ST. AUGUSTINE, FL 32084","10","06/16/1999","Approved","Recorded","MA00022614","OCEAN GATE CONDO PHASE I ASSN INC","C/O MCM PROPERTY MANAGEMENT","125 OCEAN HIBISCUS DR","ST AUGUSTINE","FL","32080"
"PR1G024409","46556","ST. CROIX AT SILVER SHELLS, A CONDO","Okaloosa","15300 EMERALD COAST PKWY, DESTIN, FL 32541","76","06/08/1999","Approved","Recorded","MA00022715","ST CROIX AT SILVER SHELLS CONDO ASSN, INC","","15300 EMERALD COAST PARKWAY","DESTIN","FL","32541"
"PR1G024602","46575","COLONY AT PONTE VEDRA X, A CONDO","St. Johns","100 PONTE VEDRA COLONY CIRCLE, PONTE VEDRA BEACH, FL 32082","8","05/18/1998","Approved","Recorded","MA00022915","COLONY AT PONTE VEDRA X CONDO ASSN INC","C/O CRESCENT MANAGEMENT SERVICES","P O BOX 1003","PONTE VEDRA BEACH","FL","32004"
"PR1P001831","51148","SEASCAPE PH 7, A CONDO","Walton","100 SEASCAPE DR HWY 98 E, DESTIN, FL 32541","41","05/03/1985","Approved","Recorded","MA00012348","SEASCAPE PH 7 ASSN INC","","PO BOX 1666","DESTIN","FL","32540"
"PR1P009010","52048","OCEAN GALLERY VILLAGE LAS PALMAS","St. Johns","RURAL ROUTE 05 BOX 17K, SAINT AUGUSTINE BCH, FL 32084-9805","73","08/06/1982","Approved","Recorded","MA00011612","OCEAN GALLERY VILLAGE LAS PALMAS CONDO ASSN., INC.","","4600 HWY. A1A, S.","SAINT AUGUSTINE","FL","32080"
"PR1P009040","52049","COQUINA LAKES, A CONDO","St. Johns","SR 312, ST. AUGUSTINE, FL 32084","104","02/19/1984","Approved","Recorded","MA00011391","COQUINA LAKES CONDO ASSN INC","C/O MCM PROPERTY MANAGEMENT INC","125 OCEAN HIBISCUS DRIVE","SAINT AUGUSTINE","FL","32080"
"PR1P009134","52050","COMMODORES'S LANDING PHASE I, A CONDO","Okaloosa","330 BLUEFISH DR, FORT WALTON BEACH, FL 32548-6105","57","05/12/1983","Approved","Recorded","MA00014084","COMMODORE'S LANDING OWNERS ASSN., INC.","","130 STAFF DRIVE. NE","FORT WALTON BEACH","FL","32548"
"PR1P009135","52051","BEACHFRONT II, A CONDO","Walton","ROUTE 2, BOX 675, SEAGROVE BEACH, FL 32454","33","09/06/1985","Approved","Recorded","MA00002536","BEACHFRONT II OWNERS' ASSN","","2441 US HWY 98 WEST, STE 101","SANTA ROSA BEACH","FL","32459"
