"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","62","PR70207","JACARANDA BEACH VILLAS CONDO","5500 GULF BOULEVARD","","ST.PETE BEACH","FL","33706","2023","1152","1152","0"
"Condominium Project","62","PR70207","JACARANDA BEACH VILLAS CONDO","5500 GULF BOULEVARD","","ST.PETE BEACH","FL","33706","2024","1152","1152","0"
"Condominium Project","62","PR70207","JACARANDA BEACH VILLAS CONDO","5500 GULF BOULEVARD","","ST.PETE BEACH","FL","33706","2025","1152","1152","0"
"Condominium Project","62","PR70207","JACARANDA BEACH VILLAS CONDO","5500 GULF BOULEVARD","","ST.PETE BEACH","FL","33706","2026","1152","1152","0"
"Condominium Project","68","PR1P007762","JACARANDA COUNTRY CLUB VILLAS","SKLAR DRIVE W JACAR W SBDV","","VENICE","FL","33595","2022","288","288","0"
"Condominium Project","68","PR1P007762","JACARANDA COUNTRY CLUB VILLAS","SKLAR DRIVE W JACAR W SBDV","","VENICE","FL","33595","2023","288","288","0"
"Condominium Project","68","PR1P007762","JACARANDA COUNTRY CLUB VILLAS","SKLAR DRIVE W JACAR W SBDV","","VENICE","FL","33595","2024","288","288","0"
"Condominium Project","68","PR1P007762","JACARANDA COUNTRY CLUB VILLAS","SKLAR DRIVE W JACAR W SBDV","","VENICE","FL","33595","2025","288","288","0"
"Condominium Project","68","PR1P007762","JACARANDA COUNTRY CLUB VILLAS","SKLAR DRIVE W JACAR W SBDV","","VENICE","FL","33595","2026","288","288","0"
"Condominium Project","16","PR1X018137","JACARANDA ESTATES CONDO","9000-9101 JACARANDA LANE","","PLANTATION","FL","33324","2026","224","224","0"
"Condominium Project","16","PR1X018137","JACARANDA ESTATES CONDO","9000-9101 JACARANDA LANE","","PLANTATION","FL","33324","2025","224","224","0"
"Condominium Project","16","PR1X018137","JACARANDA ESTATES CONDO","9000-9101 JACARANDA LANE","","PLANTATION","FL","33324","2024","224","224","0"
"Condominium Project","16","PR1X018137","JACARANDA ESTATES CONDO","9000-9101 JACARANDA LANE","","PLANTATION","FL","33324","2023","224","224","0"
"Condominium Project","16","PR1X018137","JACARANDA ESTATES CONDO","9000-9101 JACARANDA LANE","","PLANTATION","FL","33324","2022","224","224","0"
"Condominium Project","16","PR1P000600","JACARANDA HEIGHTS, A CONDO","8592 W SUNRISE BLVD","","PLANTATION","FL","33322","2026","","",""
"Condominium Project","16","PR1P000600","JACARANDA HEIGHTS, A CONDO","8592 W SUNRISE BLVD","","PLANTATION","FL","33322","2025","256","256","0"
"Condominium Project","16","PR1P000600","JACARANDA HEIGHTS, A CONDO","8592 W SUNRISE BLVD","","PLANTATION","FL","33322","2024","256","256","0"
"Condominium Project","16","PR1P000600","JACARANDA HEIGHTS, A CONDO","8592 W SUNRISE BLVD","","PLANTATION","FL","33322","2022","256","256","0"
"Condominium Project","16","PR1P000600","JACARANDA HEIGHTS, A CONDO","8592 W SUNRISE BLVD","","PLANTATION","FL","33322","2023","256","256","0"
"Condominium Project","21","PR1S007326","JACARANDA OF NAPLES, A CONDO","4082 BELAIR LN","","NAPLES","FL","339403503","2022","88","88","0"
"Condominium Project","21","PR1S007326","JACARANDA OF NAPLES, A CONDO","4082 BELAIR LN","","NAPLES","FL","339403503","2024","88","96.8","0"
"Condominium Project","21","PR1S007326","JACARANDA OF NAPLES, A CONDO","4082 BELAIR LN","","NAPLES","FL","339403503","2023","88","88","0"
"Condominium Project","21","PR1S007326","JACARANDA OF NAPLES, A CONDO","4082 BELAIR LN","","NAPLES","FL","339403503","2025","88","88","0"
"Condominium Project","21","PR1S007326","JACARANDA OF NAPLES, A CONDO","4082 BELAIR LN","","NAPLES","FL","339403503","2026","88","88","0"
"Condominium Project","68","PR71697","JACARANDA TRACE CONDO","3799 CADBURY CIRCLE","","VENICE","FL","34923","2022","804","804","0"
"Condominium Project","68","PR71697","JACARANDA TRACE CONDO","3799 CADBURY CIRCLE","","VENICE","FL","34923","2023","804","804","0"
"Condominium Project","68","PR71697","JACARANDA TRACE CONDO","3799 CADBURY CIRCLE","","VENICE","FL","34923","2024","804","804","0"
"Condominium Project","68","PR71697","JACARANDA TRACE CONDO","3799 CADBURY CIRCLE","","VENICE","FL","34923","2025","804","804","0"
"Condominium Project","68","PR71697","JACARANDA TRACE CONDO","3799 CADBURY CIRCLE","","VENICE","FL","34923","2026","804","804","0"
"Condominium Project","16","PR1S011186","JACARANDA VILLAS 2","8931 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2026","192","192","0"
"Condominium Project","16","PR1S011186","JACARANDA VILLAS 2","8931 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2025","192","192","0"
"Condominium Project","16","PR1S011186","JACARANDA VILLAS 2","8931 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2023","192","192","0"
"Condominium Project","16","PR1S011186","JACARANDA VILLAS 2","8931 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2022","192","211.2","0"
"Condominium Project","16","PR1S011186","JACARANDA VILLAS 2","8931 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2024","192","192","0"
"Condominium Project","16","PR1S023022","JACARANDA VILLAS CONDO 1","8851 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2022","192","192","0"
"Condominium Project","16","PR1S023022","JACARANDA VILLAS CONDO 1","8851 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2024","192","192","0"
"Condominium Project","16","PR1S023022","JACARANDA VILLAS CONDO 1","8851 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2023","192","192","0"
"Condominium Project","16","PR1S023022","JACARANDA VILLAS CONDO 1","8851 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2025","192","192","0"
"Condominium Project","16","PR1S023022","JACARANDA VILLAS CONDO 1","8851 N NEW RIVER CANAL RD","","PLANTATION","FL","33324","2026","192","192","0"
"Condominium Project","16","PR1S018665","JACKSON ARMS","3515 VAN BUREN ST","","HOLLYWOOD","FL","330217431","2025","52","0","52"
"Condominium Project","16","PR1S018665","JACKSON ARMS","3515 VAN BUREN ST","","HOLLYWOOD","FL","330217431","2026","52","260","-208"
"Condominium Project","16","PR1S018665","JACKSON ARMS","3515 VAN BUREN ST","","HOLLYWOOD","FL","330217431","2024","52","0","52"
"Condominium Project","16","PR1S018665","JACKSON ARMS","3515 VAN BUREN ST","","HOLLYWOOD","FL","330217431","2023","52","0","52"
"Condominium Project","16","PR1S018665","JACKSON ARMS","3515 VAN BUREN ST","","HOLLYWOOD","FL","330217431","2022","52","0","52"
"Condominium Project","47","PR75057","JACKSON BLUFF, A CONDO","1505 CAPITAL CIRCLE NW","","TALLAHASSEE","FL","32303","2022","24","35.14","0"
"Condominium Project","47","PR75057","JACKSON BLUFF, A CONDO","1505 CAPITAL CIRCLE NW","","TALLAHASSEE","FL","32303","2023","24","24","0"
"Condominium Project","47","PR75057","JACKSON BLUFF, A CONDO","1505 CAPITAL CIRCLE NW","","TALLAHASSEE","FL","32303","2024","24","26.4","0"
"Condominium Project","47","PR75057","JACKSON BLUFF, A CONDO","1505 CAPITAL CIRCLE NW","","TALLAHASSEE","FL","32303","2025","24","0","26.4"
"Condominium Project","47","PR75057","JACKSON BLUFF, A CONDO","1505 CAPITAL CIRCLE NW","","TALLAHASSEE","FL","32303","2026","","",""
"Condominium Project","23","PR72860","JACKSON GROVE CONDO","2965-2967 JACKSON AVE","","MIAMI","FL","33133","2022","","",""
"Condominium Project","23","PR72860","JACKSON GROVE CONDO","2965-2967 JACKSON AVE","","MIAMI","FL","33133","2023","","",""
"Condominium Project","23","PR72860","JACKSON GROVE CONDO","2965-2967 JACKSON AVE","","MIAMI","FL","33133","2024","","",""
"Condominium Project","23","PR72860","JACKSON GROVE CONDO","2965-2967 JACKSON AVE","","MIAMI","FL","33133","2025","","",""
"Condominium Project","23","PR72860","JACKSON GROVE CONDO","2965-2967 JACKSON AVE","","MIAMI","FL","33133","2026","","",""
"Condominium Project","16","PR1S018700","JACKSON MANOR 2","ADAMS ST","","HOLLYWOOD","FL","33020","2026","40","40","0"
"Condominium Project","16","PR1S018700","JACKSON MANOR 2","ADAMS ST","","HOLLYWOOD","FL","33020","2025","40","40","0"
"Condominium Project","16","PR1S018700","JACKSON MANOR 2","ADAMS ST","","HOLLYWOOD","FL","33020","2023","40","40","0"
"Condominium Project","16","PR1S018700","JACKSON MANOR 2","ADAMS ST","","HOLLYWOOD","FL","33020","2022","40","40","0"
"Condominium Project","16","PR1S018700","JACKSON MANOR 2","ADAMS ST","","HOLLYWOOD","FL","33020","2024","40","40","0"
"Condominium Project","16","PR1X025088","JACKSON MANOR APTS","2319 JACKSON ST","","HOLLYWOOD","FL","33020","2026","","",""
"Condominium Project","16","PR1X025088","JACKSON MANOR APTS","2319 JACKSON ST","","HOLLYWOOD","FL","33020","2025","40","0","44"
"Condominium Project","16","PR1X025088","JACKSON MANOR APTS","2319 JACKSON ST","","HOLLYWOOD","FL","33020","2023","40","40","0"
"Condominium Project","16","PR1X025088","JACKSON MANOR APTS","2319 JACKSON ST","","HOLLYWOOD","FL","33020","2022","40","48.4","0"
"Condominium Project","16","PR1X025088","JACKSON MANOR APTS","2319 JACKSON ST","","HOLLYWOOD","FL","33020","2024","40","44","0"
"Condominium Project","58","PR76189","JACKSON PARK 2 CONDO","10797 CORSICAN ST","","ORLANDO","FL","32824","2022","352","352","0"
"Condominium Project","58","PR76189","JACKSON PARK 2 CONDO","10797 CORSICAN ST","","ORLANDO","FL","32824","2023","352","352","0"
"Condominium Project","58","PR76189","JACKSON PARK 2 CONDO","10797 CORSICAN ST","","ORLANDO","FL","32824","2024","352","387.2","0"
"Condominium Project","58","PR76189","JACKSON PARK 2 CONDO","10797 CORSICAN ST","","ORLANDO","FL","32824","2025","352","352","0"
"Condominium Project","58","PR76189","JACKSON PARK 2 CONDO","10797 CORSICAN ST","","ORLANDO","FL","32824","2026","","",""
"Condominium Project","58","PR72274","JACKSON PARK, A CONDO","10725 CORSICAN ST","","ORLANDO","FL","32824","2022","208","208","0"
"Condominium Project","58","PR72274","JACKSON PARK, A CONDO","10725 CORSICAN ST","","ORLANDO","FL","32824","2023","208","208","0"
"Condominium Project","58","PR72274","JACKSON PARK, A CONDO","10725 CORSICAN ST","","ORLANDO","FL","32824","2024","208","208","0"
"Condominium Project","58","PR72274","JACKSON PARK, A CONDO","10725 CORSICAN ST","","ORLANDO","FL","32824","2025","208","208","0"
"Condominium Project","58","PR72274","JACKSON PARK, A CONDO","10725 CORSICAN ST","","ORLANDO","FL","32824","2026","208","208","0"
"Condominium Project","11","PR72883","JACKSON SQUARE CONDO","1320 NW 3RD AVE","","GAINESVILLE","FL","32601","2022","216","216","0"
"Condominium Project","11","PR72883","JACKSON SQUARE CONDO","1320 NW 3RD AVE","","GAINESVILLE","FL","32601","2023","216","216","0"
"Condominium Project","11","PR72883","JACKSON SQUARE CONDO","1320 NW 3RD AVE","","GAINESVILLE","FL","32601","2024","216","216","0"
"Condominium Project","11","PR72883","JACKSON SQUARE CONDO","1320 NW 3RD AVE","","GAINESVILLE","FL","32601","2025","216","0","237.6"
"Condominium Project","11","PR72883","JACKSON SQUARE CONDO","1320 NW 3RD AVE","","GAINESVILLE","FL","32601","2026","216","453.6","-237.6"
"Condominium Project","16","PR1S024734","JACKSON TOWER LAS OLAS, A CONDO","100 SOUTH BIRCH ROAD","","FORT LAUDERDALE","FL","33316","2023","496","496","0"
"Condominium Project","16","PR1S024734","JACKSON TOWER LAS OLAS, A CONDO","100 SOUTH BIRCH ROAD","","FORT LAUDERDALE","FL","33316","2025","496","496","0"
"Condominium Project","16","PR1S024734","JACKSON TOWER LAS OLAS, A CONDO","100 SOUTH BIRCH ROAD","","FORT LAUDERDALE","FL","33316","2026","496","496","0"
"Condominium Project","16","PR1S024734","JACKSON TOWER LAS OLAS, A CONDO","100 SOUTH BIRCH ROAD","","FORT LAUDERDALE","FL","33316","2022","496","496","0"
"Condominium Project","16","PR1S024734","JACKSON TOWER LAS OLAS, A CONDO","100 SOUTH BIRCH ROAD","","FORT LAUDERDALE","FL","33316","2024","496","496","0"
"Condominium Project","58","PR70281","JACKSON, A CONDO","521 EAST JACKSON STREET","","ORLANDO","FL","32801","2022","208","208","0"
"Condominium Project","58","PR70281","JACKSON, A CONDO","521 EAST JACKSON STREET","","ORLANDO","FL","32801","2023","208","208","0"
"Condominium Project","58","PR70281","JACKSON, A CONDO","521 EAST JACKSON STREET","","ORLANDO","FL","32801","2024","208","208","0"
"Condominium Project","58","PR70281","JACKSON, A CONDO","521 EAST JACKSON STREET","","ORLANDO","FL","32801","2025","208","208","0"
"Condominium Project","58","PR70281","JACKSON, A CONDO","521 EAST JACKSON STREET","","ORLANDO","FL","32801","2026","","",""
"Condominium Project","26","PR1V014221","JACKSONVILLE SEMINOLE CONDO","1623,5,7,9 SEMINOLE RD.","","JACKSONVILLE","FL","32205","2022","16","16","0"
"Condominium Project","26","PR1V014221","JACKSONVILLE SEMINOLE CONDO","1623,5,7,9 SEMINOLE RD.","","JACKSONVILLE","FL","32205","2026","","",""
"Condominium Project","26","PR1V014221","JACKSONVILLE SEMINOLE CONDO","1623,5,7,9 SEMINOLE RD.","","JACKSONVILLE","FL","32205","2025","16","0","19.36"
"Condominium Project","26","PR1V014221","JACKSONVILLE SEMINOLE CONDO","1623,5,7,9 SEMINOLE RD.","","JACKSONVILLE","FL","32205","2023","16","17.6","0"
"Condominium Project","26","PR1V014221","JACKSONVILLE SEMINOLE CONDO","1623,5,7,9 SEMINOLE RD.","","JACKSONVILLE","FL","32205","2024","16","0","17.6"
"Condominium Project","39","PR73406","JADE AT TAMPA PALMS, A CONDO","16801 TAMPA PALMS BLVD WEST","","TAMPA","FL","33647","2022","992","992","0"
"Condominium Project","39","PR73406","JADE AT TAMPA PALMS, A CONDO","16801 TAMPA PALMS BLVD WEST","","TAMPA","FL","33647","2023","992","992","0"
"Condominium Project","39","PR73406","JADE AT TAMPA PALMS, A CONDO","16801 TAMPA PALMS BLVD WEST","","TAMPA","FL","33647","2024","992","992","0"
"Condominium Project","39","PR73406","JADE AT TAMPA PALMS, A CONDO","16801 TAMPA PALMS BLVD WEST","","TAMPA","FL","33647","2025","992","992","0"
"Condominium Project","39","PR73406","JADE AT TAMPA PALMS, A CONDO","16801 TAMPA PALMS BLVD WEST","","TAMPA","FL","33647","2026","992","992","0"
"Condominium Project","23","PR69667","JADE BEACH CONDO","17001 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2022","992","992","0"
"Condominium Project","23","PR69667","JADE BEACH CONDO","17001 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2023","992","1091.2","0"
"Condominium Project","23","PR69667","JADE BEACH CONDO","17001 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2024","992","992","0"
"Condominium Project","23","PR69667","JADE BEACH CONDO","17001 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2025","992","992","0"
"Condominium Project","23","PR69667","JADE BEACH CONDO","17001 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2026","992","992","0"
"Condominium Project","16","PR1S018143","JADE BEACH VILLAS EAST","1750 S OCEAN BLVD","","POMPANO BEACH","FL","330627804","2025","248","248","0"
"Condominium Project","16","PR1S018143","JADE BEACH VILLAS EAST","1750 S OCEAN BLVD","","POMPANO BEACH","FL","330627804","2026","","",""
"Condominium Project","16","PR1S018143","JADE BEACH VILLAS EAST","1750 S OCEAN BLVD","","POMPANO BEACH","FL","330627804","2024","248","248","0"
"Condominium Project","16","PR1S018143","JADE BEACH VILLAS EAST","1750 S OCEAN BLVD","","POMPANO BEACH","FL","330627804","2023","248","248","0"
"Condominium Project","16","PR1S018143","JADE BEACH VILLAS EAST","1750 S OCEAN BLVD","","POMPANO BEACH","FL","330627804","2022","248","248","0"
"Condominium Project","21","PR1U022660","JADE CLUB AT SAPPHIRE LAKES, A CONDO","8001 RADIO ROAD","","NAPLES","FL","33962","2024","152","152","0"
"Condominium Project","21","PR1U022660","JADE CLUB AT SAPPHIRE LAKES, A CONDO","8001 RADIO ROAD","","NAPLES","FL","33962","2022","152","152","0"
"Condominium Project","21","PR1U022660","JADE CLUB AT SAPPHIRE LAKES, A CONDO","8001 RADIO ROAD","","NAPLES","FL","33962","2023","152","152","0"
"Condominium Project","21","PR1U022660","JADE CLUB AT SAPPHIRE LAKES, A CONDO","8001 RADIO ROAD","","NAPLES","FL","33962","2025","152","152","0"
"Condominium Project","21","PR1U022660","JADE CLUB AT SAPPHIRE LAKES, A CONDO","8001 RADIO ROAD","","NAPLES","FL","33962","2026","152","152","0"
"Condominium Project","23","PR1V024462","JADE CONDO","1008 JEFFERSON AVENUE","","MIAMI BEACH","FL","33139","2026","56","56","0"
"Condominium Project","23","PR1V024462","JADE CONDO","1008 JEFFERSON AVENUE","","MIAMI BEACH","FL","33139","2025","56","56","0"
"Condominium Project","23","PR1V024462","JADE CONDO","1008 JEFFERSON AVENUE","","MIAMI BEACH","FL","33139","2024","56","56","0"
"Condominium Project","23","PR1V024462","JADE CONDO","1008 JEFFERSON AVENUE","","MIAMI BEACH","FL","33139","2022","56","56","0"
"Condominium Project","23","PR1V024462","JADE CONDO","1008 JEFFERSON AVENUE","","MIAMI BEACH","FL","33139","2023","56","56","0"
"Condominium Project","56","PR1S022891","JADE EAST TOWERS, A CONDO","1018 EAST HIGHWAY 98","","DESTIN","FL","32541","2022","352","352","0"
"Condominium Project","56","PR1S022891","JADE EAST TOWERS, A CONDO","1018 EAST HIGHWAY 98","","DESTIN","FL","32541","2023","352","352","0"
"Condominium Project","56","PR1S022891","JADE EAST TOWERS, A CONDO","1018 EAST HIGHWAY 98","","DESTIN","FL","32541","2024","352","352","0"
"Condominium Project","56","PR1S022891","JADE EAST TOWERS, A CONDO","1018 EAST HIGHWAY 98","","DESTIN","FL","32541","2025","352","352","0"
"Condominium Project","56","PR1S022891","JADE EAST TOWERS, A CONDO","1018 EAST HIGHWAY 98","","DESTIN","FL","32541","2026","352","352","0"
"Condominium Project","23","PR71977","JADE OCEAN CONDO","17121 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2022","1024","1126.4","0"
"Condominium Project","23","PR71977","JADE OCEAN CONDO","17121 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2023","1024","1024","0"
"Condominium Project","23","PR71977","JADE OCEAN CONDO","17121 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2024","1024","1126.4","0"
"Condominium Project","23","PR71977","JADE OCEAN CONDO","17121 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2025","1024","1024","0"
"Condominium Project","23","PR71977","JADE OCEAN CONDO","17121 COLLINS AVE","","SUNNY ISLES BEACH","FL","33160","2026","1024","1024","0"
"Condominium Project","15","PR1S024028","JADE PALM, A CONDO","1345 NORTH HIGHWAY A1A","","INDIALANTIC","FL","32903","2026","200","200","0"
"Condominium Project","15","PR1S024028","JADE PALM, A CONDO","1345 NORTH HIGHWAY A1A","","INDIALANTIC","FL","32903","2025","200","200","0"
"Condominium Project","15","PR1S024028","JADE PALM, A CONDO","1345 NORTH HIGHWAY A1A","","INDIALANTIC","FL","32903","2024","200","200","0"
"Condominium Project","15","PR1S024028","JADE PALM, A CONDO","1345 NORTH HIGHWAY A1A","","INDIALANTIC","FL","32903","2023","200","200","0"
"Condominium Project","15","PR1S024028","JADE PALM, A CONDO","1345 NORTH HIGHWAY A1A","","INDIALANTIC","FL","32903","2022","200","220","0"
"Condominium Project","23","PR1U026086","JADE RESIDENCES AT BRICKELL BAY,A CONDO","1295 BRICKELL BAY DRIVE","","MIAMI","FL","33129","2022","1352","1352","0"
"Condominium Project","23","PR1U026086","JADE RESIDENCES AT BRICKELL BAY,A CONDO","1295 BRICKELL BAY DRIVE","","MIAMI","FL","33129","2023","1352","1352","0"
"Condominium Project","23","PR1U026086","JADE RESIDENCES AT BRICKELL BAY,A CONDO","1295 BRICKELL BAY DRIVE","","MIAMI","FL","33129","2024","1352","1352","0"
"Condominium Project","23","PR1U026086","JADE RESIDENCES AT BRICKELL BAY,A CONDO","1295 BRICKELL BAY DRIVE","","MIAMI","FL","33129","2026","1352","1352","0"
"Condominium Project","23","PR1U026086","JADE RESIDENCES AT BRICKELL BAY,A CONDO","1295 BRICKELL BAY DRIVE","","MIAMI","FL","33129","2025","1352","1352","0"
"Condominium Project","54","PR71015","JADE ROAD CONDO","7 JADE DRIVE","","BIG COPPETT KEY","FL","33040","2022","","",""
"Condominium Project","54","PR71015","JADE ROAD CONDO","7 JADE DRIVE","","BIG COPPETT KEY","FL","33040","2023","","",""
"Condominium Project","54","PR71015","JADE ROAD CONDO","7 JADE DRIVE","","BIG COPPETT KEY","FL","33040","2024","","",""
"Condominium Project","54","PR71015","JADE ROAD CONDO","7 JADE DRIVE","","BIG COPPETT KEY","FL","33040","2025","","",""
"Condominium Project","54","PR71015","JADE ROAD CONDO","7 JADE DRIVE","","BIG COPPETT KEY","FL","33040","2026","","",""
"Condominium Project","23","PR75900","JADE SIGNATURE, A CONDO","16901 COLLINS AVENUE","","SUNNY ISLES BEACH","FL","33160","2022","768","768","0"
"Condominium Project","23","PR75900","JADE SIGNATURE, A CONDO","16901 COLLINS AVENUE","","SUNNY ISLES BEACH","FL","33160","2023","768","844.8","0"
"Condominium Project","23","PR75900","JADE SIGNATURE, A CONDO","16901 COLLINS AVENUE","","SUNNY ISLES BEACH","FL","33160","2024","768","844.8","0"
"Condominium Project","23","PR75900","JADE SIGNATURE, A CONDO","16901 COLLINS AVENUE","","SUNNY ISLES BEACH","FL","33160","2025","768","768","0"
"Condominium Project","23","PR75900","JADE SIGNATURE, A CONDO","16901 COLLINS AVENUE","","SUNNY ISLES BEACH","FL","33160","2026","768","768","0"
"Condominium Project","23","PR1S017611","JADE WINDS","1720 NE 191ST ST","","NORTH MIAMI BEACH","FL","331794208","2026","","",""
"Condominium Project","23","PR1S017611","JADE WINDS","1720 NE 191ST ST","","NORTH MIAMI BEACH","FL","331794208","2025","3664","4030.4","0"
"Condominium Project","23","PR1S017611","JADE WINDS","1720 NE 191ST ST","","NORTH MIAMI BEACH","FL","331794208","2022","3664","3664","0"
"Condominium Project","23","PR1S017611","JADE WINDS","1720 NE 191ST ST","","NORTH MIAMI BEACH","FL","331794208","2023","3664","4030.4","0"
"Condominium Project","23","PR1S017611","JADE WINDS","1720 NE 191ST ST","","NORTH MIAMI BEACH","FL","331794208","2024","3664","3664","0"
"Condominium Project","74","PR73745","JADE WINDS CONDO, THE","3600 S PENINSULA AVE","","PORT ORANGE","FL","32127","2022","72","72","0"
"Condominium Project","74","PR73745","JADE WINDS CONDO, THE","3600 S PENINSULA AVE","","PORT ORANGE","FL","32127","2023","72","72","0"
"Condominium Project","74","PR73745","JADE WINDS CONDO, THE","3600 S PENINSULA AVE","","PORT ORANGE","FL","32127","2024","72","72","0"
"Condominium Project","74","PR73745","JADE WINDS CONDO, THE","3600 S PENINSULA AVE","","PORT ORANGE","FL","32127","2025","72","72","0"
"Condominium Project","74","PR73745","JADE WINDS CONDO, THE","3600 S PENINSULA AVE","","PORT ORANGE","FL","32127","2026","72","72","0"
